1,486,19,0.6207,0,7
2,486,19,0.6207,1,0
3,488,19,0.6207,0,4
4,488,19,0.6207,1,14
5,490,19,0.6207,0,2
6,490,19,0.6207,1,0
7,506,19,0.6207,0,1
8,506,19,0.6207,1,2
9,510,19,0.6207,0,4
10,510,19,0.6207,1,2
11,512,19,0.6207,0,8
12,512,19,0.6207,1,1
13,518,19,0.6207,0,3
14,518,19,0.6207,1,5
15,520,19,0.6207,0,1
16,520,19,0.6207,1,5
17,524,19,0.6207,0,6
18,524,19,0.6207,1,5
19,528,19,0.6207,0,1
20,528,19,0.6207,1,5
21,526,19,0.6207,0,6
22,526,19,0.6207,1,15
23,538,19,0.6207,0,4
24,538,19,0.6207,1,4
25,540,19,0.6207,0,9
26,540,19,0.6207,1,0
27,546,19,0.6207,0,3
28,546,19,0.6207,1,0
29,556,19,0.6207,0,10
30,556,19,0.6207,1,15
31,564,19,0.6207,0,11
32,564,19,0.6207,1,0
33,486,20,0.6207,0,13
34,486,20,0.6207,1,15
35,488,20,0.6207,0,15
36,488,20,0.6207,1,9
37,490,20,0.6207,0,13
38,490,20,0.6207,1,15
39,506,20,0.6207,0,15
40,506,20,0.6207,1,13
41,510,20,0.6207,0,11
42,510,20,0.6207,1,13
43,512,20,0.6207,0,7
44,512,20,0.6207,1,14
45,518,20,0.6207,0,12
46,518,20,0.6207,1,10
47,520,20,0.6207,0,14
48,520,20,0.6207,1,10
49,524,20,0.6207,0,9
50,524,20,0.6207,1,2
51,528,20,0.6207,0,0
52,528,20,0.6207,1,2
53,526,20,0.6207,0,9
54,526,20,0.6207,1,8
55,538,20,0.6207,0,15
56,538,20,0.6207,1,14
57,540,20,0.6207,0,6
58,540,20,0.6207,1,1
59,546,20,0.6207,0,12
60,546,20,0.6207,1,14
61,556,20,0.6207,0,13
62,556,20,0.6207,1,10
63,564,20,0.6207,0,4
64,564,20,0.6207,1,9
65,486,21,0.6207,0,2
66,486,21,0.6207,1,0
67,488,21,0.6207,0,0
68,488,21,0.6207,1,6
69,490,21,0.6207,0,2
70,490,21,0.6207,1,0
71,506,21,0.6207,0,2
72,506,21,0.6207,1,3
73,510,21,0.6207,0,4
74,510,21,0.6207,1,2
75,512,21,0.6207,0,8
76,512,21,0.6207,1,1
77,518,21,0.6207,0,3
78,518,21,0.6207,1,1
79,520,21,0.6207,0,1
80,520,21,0.6207,1,7
81,524,21,0.6207,0,6
82,524,21,0.6207,1,9
83,528,21,0.6207,0,15
84,528,21,0.6207,1,12
85,526,21,0.6207,0,7
86,526,21,0.6207,1,2
87,538,21,0.6207,0,1
88,538,21,0.6207,1,1
89,540,21,0.6207,0,8
90,540,21,0.6207,1,12
91,546,21,0.6207,0,1
92,546,21,0.6207,1,1
93,556,21,0.6207,0,0
94,556,21,0.6207,1,5
95,564,21,0.6207,0,2
96,564,21,0.6207,1,6
97,486,22,0.6207,0,13
98,486,22,0.6207,1,15
99,488,22,0.6207,0,15
100,488,22,0.6207,1,9
101,490,22,0.6207,0,13
102,490,22,0.6207,1,15
103,506,22,0.6207,0,13
104,506,22,0.6207,1,6
105,510,22,0.6207,0,15
106,510,22,0.6207,1,13
107,512,22,0.6207,0,11
108,512,22,0.6207,1,14
109,518,22,0.6207,0,4
